index,hit@1,hit@3,lon,lat
577,-1,-1,-55.00900722,5.10919637
578,1,1,-55.00900722,5.10919637
579,1,1,-55.00900722,5.10919637
580,-1,-1,-55.00900722,5.10919637
581,1,1,-55.00900722,5.10919637
582,-1,-1,-55.00900722,5.10919637
583,-1,-1,-55.00900722,5.10919637
584,1,1,-55.00900722,5.10919637
585,-1,-1,-55.00900722,5.10919637
586,1,1,-55.00900722,5.10919637
587,-1,1,-55.00900722,5.10919637
588,1,1,-55.00900722,5.10919637
589,-1,-1,-55.00900722,5.10919637
590,1,1,-55.00900722,5.10919637
591,-1,-1,-55.00900722,5.10919637
592,1,1,-54.99474764,5.10919637
593,1,1,-54.99474764,5.10919637
594,-1,1,-54.99474764,5.10919637
595,1,1,-54.99474764,5.10919637
596,-1,-1,-54.99474764,5.10919637
597,-1,-1,-54.99474764,5.10919637
598,-1,-1,-54.99474764,5.10919637
599,-1,-1,-54.99474764,5.10919637
600,1,1,-54.99474764,5.10919637
601,1,1,-54.99474764,5.10919637
602,-1,-1,-54.99474764,5.10919637
603,-1,-1,-54.99474764,5.10919637
604,-1,1,-54.99474764,5.10919637
605,-1,1,-54.99474764,5.10919637
606,1,1,-54.99474764,5.10919637
607,-1,1,-54.99474764,5.10919637
608,1,1,-69.92216903,-12.83228684
609,-1,1,-69.92216903,-12.83228684
610,-1,-1,-69.92216903,-12.83228684
611,1,1,-69.92216903,-12.83228684
612,-1,1,-69.92216903,-12.83228684
613,-1,-1,-69.92216903,-12.83228684
614,-1,1,-69.92216903,-12.83228684
615,-1,-1,-69.92216903,-12.83228684
616,-1,-1,-69.92216903,-12.83228684
617,1,1,-69.92216903,-12.83228684
618,-1,-1,-69.92216903,-12.83228684
619,-1,1,-69.92216903,-12.83228684
620,1,1,-69.92216903,-12.83228684
621,1,1,-69.92216903,-12.83228684
622,-1,-1,-69.92216903,-12.83228684
623,1,1,-69.92216903,-12.83228684
624,-1,1,-54.52180941,5.018679693
625,1,1,-54.52180941,5.018679693
626,-1,-1,-54.52180941,5.018679693
627,-1,-1,-54.52180941,5.018679693
628,1,1,-54.52180941,5.018679693
629,-1,-1,-54.52180941,5.018679693
630,-1,-1,-54.52180941,5.018679693
631,-1,1,-54.52180941,5.018679693
632,1,1,-54.52180941,5.018679693
633,-1,1,-54.52180941,5.018679693
634,1,1,-54.52180941,5.018679693
635,1,1,-54.52180941,5.018679693
636,1,1,-54.52180941,5.018679693
637,1,1,-54.52180941,5.018679693
638,-1,1,-54.52180941,5.018679693
639,-1,-1,-54.52180941,5.018679693
640,-1,-1,-55.49285292,4.94067443
641,-1,-1,-55.49285292,4.94067443
642,-1,-1,-55.49285292,4.94067443
643,1,1,-55.49285292,4.94067443
644,1,1,-55.49285292,4.94067443
645,-1,-1,-55.49285292,4.94067443
646,1,1,-55.49285292,4.94067443
647,1,1,-55.49285292,4.94067443
648,1,1,-55.49285292,4.94067443
649,-1,1,-55.49285292,4.94067443
650,1,1,-55.49285292,4.94067443
651,1,1,-55.49285292,4.94067443
652,-1,1,-55.49285292,4.94067443
653,1,1,-55.49285292,4.94067443
654,-1,-1,-55.49285292,4.94067443
655,1,1,-55.49285292,4.94067443
656,1,1,-54.47988223,5.097975508
657,1,1,-54.47988223,5.097975508
658,-1,1,-54.47988223,5.097975508
659,-1,1,-54.47988223,5.097975508
660,-1,1,-54.47988223,5.097975508
661,1,1,-54.47988223,5.097975508
662,-1,-1,-54.47988223,5.097975508
663,-1,-1,-54.47988223,5.097975508
664,-1,-1,-54.47988223,5.097975508
665,-1,-1,-54.47988223,5.097975508
666,-1,1,-54.47988223,5.097975508
667,-1,-1,-54.47988223,5.097975508
668,1,1,-54.47988223,5.097975508
669,1,1,-54.47988223,5.097975508
670,1,1,-54.47988223,5.097975508
671,1,1,-54.47988223,5.097975508
672,-1,-1,-54.4656229,5.083677299
673,1,1,-54.4656229,5.083677299
674,-1,-1,-54.4656229,5.083677299
675,1,1,-54.4656229,5.083677299
676,1,1,-54.4656229,5.083677299
677,1,1,-54.4656229,5.083677299
678,-1,-1,-54.4656229,5.083677299
679,-1,-1,-54.4656229,5.083677299
680,1,1,-54.4656229,5.083677299
681,1,1,-54.4656229,5.083677299
682,1,1,-54.4656229,5.083677299
683,1,1,-54.4656229,5.083677299
684,1,1,-54.4656229,5.083677299
685,-1,-1,-54.4656229,5.083677299
686,1,1,-54.4656229,5.083677299
687,-1,1,-54.4656229,5.083677299
688,-1,-1,-54.5061779,4.853516109
689,1,1,-54.5061779,4.853516109
690,-1,1,-54.5061779,4.853516109
691,1,1,-54.5061779,4.853516109
692,-1,1,-54.5061779,4.853516109
693,-1,-1,-54.5061779,4.853516109
694,-1,-1,-54.5061779,4.853516109
695,-1,1,-54.5061779,4.853516109
696,-1,-1,-54.5061779,4.853516109
697,1,1,-54.5061779,4.853516109
698,1,1,-54.5061779,4.853516109
699,-1,1,-54.5061779,4.853516109
700,1,1,-54.5061779,4.853516109
701,-1,1,-54.5061779,4.853516109
702,1,1,-54.5061779,4.853516109
703,-1,1,-54.5061779,4.853516109
704,1,1,-54.49192322,4.867814412
705,-1,-1,-54.49192322,4.867814412
706,-1,-1,-54.49192322,4.867814412
707,1,1,-54.49192322,4.867814412
